Communication;Nodes;Processes;Size;Communication-time;Operations-time;Total-time;
0;2;;4096;0.329537;1.383312;1.712849;
0;4;;4096;0.378743;0.745220;1.123963;
0;8;;4096;0.534907;0.670858;1.205765;
1;1;;256;0.001382;0.011861;0.013242;
1;2;;256;0.002314;0.006656;0.008971;
1;4;;256;0.001596;0.003087;0.004682;
1;8;;256;0.002215;0.002646;0.004861;
1;1;;512;0.008114;0.045759;0.053872;
1;2;;512;0.005410;0.023215;0.028625;
1;4;;512;0.014907;0.011863;0.026770;
1;8;;512;0.008291;0.011091;0.019382;
1;1;;1024;0.022331;0.181458;0.203789;
1;2;;1024;0.022490;0.093050;0.115540;
1;4;;1024;0.022702;0.048955;0.071657;
1;8;;1024;0.029761;0.044746;0.074507;
1;1;;2048;0.085415;0.731403;0.816819;
1;2;;2048;0.116614;0.376195;0.492809;
1;4;;2048;0.091811;0.198193;0.290004;
1;8;;2048;0.136679;0.167940;0.304620;
1;1;;4096;0.341350;2.702454;3.043804;
1;2;;4096;0.350533;1.384811;1.735344;
1;4;;4096;0.365848;0.730077;1.095925;
1;8;;4096;0.540788;0.674968;1.215756;
0;16;;256;0.090666;0.001214;0.091880;
0;32;;256;0.430490;0.000491;0.430981;
0;16;;512;0.071265;0.005207;0.076471;
0;32;;512;0.230851;0.002478;0.233330;
0;16;;1024;0.139833;0.023512;0.163345;
0;32;;1024;0.260209;0.010463;0.270672;
0;16;;2048;0.287929;0.078486;0.366414;
0;32;;2048;0.491531;0.036447;0.527978;
0;16;;4096;1.071109;0.328279;1.399388;
0;32;;4096;1.384147;0.166688;1.550835;
1;16;;256;0.080861;0.001516;0.082378;
1;32;;256;0.210386;0.000498;0.210883;
1;16;;512;0.101048;0.005438;0.106485;
1;32;;512;0.240968;0.002479;0.243447;
1;16;;1024;0.120494;0.023231;0.143725;
1;32;;1024;0.281244;0.010447;0.291691;
1;16;;2048;0.281774;0.074118;0.355892;
1;32;;2048;0.436723;0.036461;0.473184;
1;16;;4096;1.062196;0.326253;1.388448;
1;32;;4096;1.402524;0.162097;1.564622;
0;1;;256;0.001882;0.011611;0.013492;
0;2;;256;0.002057;0.005870;0.007927;
0;4;;256;0.002047;0.005392;0.007439;
0;8;;256;0.002248;0.002649;0.004896;
0;1;;256;0.002339;0.013854;0.016193;
0;2;;256;0.001600;0.005871;0.007472;
0;4;;256;0.002069;0.005531;0.007600;
0;8;;256;0.004877;0.002992;0.007869;
0;1;;512;0.005190;0.045861;0.051051;
0;2;;512;0.005987;0.023308;0.029295;
0;4;;512;0.008132;0.020090;0.028222;
0;8;;512;0.010869;0.011017;0.021887;
0;1;;1024;0.020688;0.181155;0.201843;
0;2;;1024;0.021727;0.093132;0.114859;
0;4;;1024;0.030846;0.061858;0.092703;
0;8;;1024;0.039681;0.044638;0.084319;
0;1;;2048;0.079252;0.732904;0.812156;
0;2;;2048;0.113581;0.376445;0.490026;
0;4;;2048;0.099961;0.202482;0.302443;
0;8;;2048;0.132201;0.167869;0.300070;
0;1;;4096;0.304412;2.690963;2.995375;
0;2;;4096;0.333701;1.382775;1.716475;
0;4;;4096;0.379346;0.745098;1.124443;
0;8;;4096;0.536747;0.673751;1.210499;
1;1;;256;0.001380;0.011440;0.012820;
1;2;;256;0.001895;0.006004;0.007898;
1;4;;256;0.002340;0.005929;0.008269;
1;8;;256;0.003914;0.002614;0.006528;
1;1;;512;0.005969;0.046228;0.052197;
1;2;;512;0.006209;0.023399;0.029608;
1;4;;512;0.007800;0.021093;0.028892;
1;8;;512;0.010623;0.011014;0.021637;
1;1;;1024;0.021410;0.181943;0.203352;
1;2;;1024;0.023680;0.093429;0.117110;
1;4;;1024;0.022910;0.048992;0.071902;
1;8;;1024;0.032305;0.045960;0.078264;
1;1;;2048;0.088142;0.732843;0.820986;
1;2;;2048;0.150865;0.375431;0.526296;
1;4;;2048;0.093592;0.197917;0.291509;
1;8;;2048;0.137415;0.168171;0.305586;
1;1;;4096;0.347863;2.702450;3.050313;
1;2;;4096;0.354113;1.387186;1.741298;
1;4;;4096;0.380950;0.732245;1.113196;
1;8;;4096;0.545116;0.673050;1.218166;
0;16;;256;0.080810;0.001266;0.082076;
0;32;;256;0.230639;0.000489;0.231128;
0;16;;512;0.084783;0.005256;0.090039;
0;32;;512;0.221018;0.002472;0.223490;
0;16;;1024;0.125358;0.021571;0.146929;
0;32;;1024;0.285133;0.010436;0.295569;
0;16;;2048;0.280233;0.074508;0.354741;
0;32;;2048;0.465072;0.036736;0.501807;
0;16;;4096;1.071805;0.331464;1.403269;
0;32;;4096;1.532454;0.161494;1.693948;
1;16;;256;0.080768;0.001213;0.081982;
1;32;;256;0.210693;0.000490;0.211183;
1;16;;512;0.075034;0.005501;0.080536;
1;32;;512;0.210935;0.002595;0.213530;
1;16;;1024;0.122951;0.021511;0.144462;
1;32;;1024;0.502222;0.010515;0.512736;
1;16;;2048;0.303677;0.073900;0.377577;
1;32;;2048;0.455845;0.039215;0.495059;
1;16;;4096;1.082594;0.326311;1.408905;
1;32;;4096;1.551126;0.165340;1.716467;
0;1;;256;0.001280;0.011383;0.012663;
0;2;;256;0.001423;0.005906;0.007329;
